Title,topic
Лос-Анжелесте кайрадан өрт тутанды,duino
Беларуста президенттик шайлоодо мөөнөтүнөн мурда добуш берүү өтүүдө,duino
Түркияда мейманканадагы өрттөн каза болгондордун саны 76га жетти,duino
Италияда эң ири күн электр станциясы ачылды,duino
Газа тилкесине 900дөн ашык унаа гуманитардык жардам жеткирилди – БУУ,duino
Дональд Трамп АКШнын президенти кызматына расмий киришти,duino
Бүгүн АКШ президенти Дональд Трамптын ант берүү аземи өтөт,duino
Түштүк Кореянын президентинин коопсуздук кызматынын башчысы камакка алынды,duino
Израиль өкмөтү Газа тилкеси боюнча келишимге кол коюлганын тастыктады,duino
АКШ президенти Дональд Трамптын ант берүү аземи 20-январда өтөт,duino
Түштүк Калифорнияда дагы эки токойдо өрт тутанды,duino
Тайванда сасык тумоого чалдыккандардын саны рекорддук көрсөткүчтөргө жетти,duino
Париж Олимпиадасында спортчуларга берилген жараксыз медалдар алмаштырылат,duino
Дүйнөдөгү эң турбуленттүү аба жолу белгилүү болду,duino
"Японияда күчү 6,9 баллга жеткен жер титирөө болду",duino
Калифорнияда тилсиз жоодо каза болгондордун саны 24кө жетти,duino
Өткөн жылы Тайванда төрөлүүнүн эң төмөнкү көрсөткүчү катталды,duino
Кытайдын түндүк-батышына саякат. Эмнени үйрөнсөк болот?,duino
Жо Байден Калифорниядагы өрттү штаттын тарыхындагы кыйратуучу кырсык деп атады,duino
"Лос-Анжелестеги токой өртү: 5 киши каза болуп, Малибуда атактуулардын үйлөрү күйүүдө",duino
Лос-Анжелесте токойдогу өрттөн улам 30 миңдей адам эвакуацияланды,duino
Тибетте зилзаладан кийин 515 жолу жер кайталанып силкинди,duino
"Бириккен Араб Эмиратында жеңил учак кулап, эки адам каза тапты",duino
Азербайжанда 26-декабрь аза күтүү күнү деп жарыяланды,duino
Казакстанда Бакудан Грозныйга учуп бара жаткан учак кулады,duino
Түркияда тез жардамдын тик учагы оорукананын имаратына кулап түштү,duino
Вануатудагы жер титирөөдө 14 адам каза болду,duino
Кыргызстанга окшош. Кытайдагы эң ири тоо курортунан видео сүртүмдөр,duino
Бельгияда кыргызстандык бренддердин кийимдери көрсөтүлдү,duino
Илон Маск SpaceX компаниясынын штаб-квартирасын жаңы шаарга көчүрөт,duino
Италияда биринчи жолу соккон жүрөктү алмаштыруу операциясы жасалды,duino
Футбол боюнча кийинки дүйнө чемпионаттары кайсы өлкөлөрдө өтө турганы белгилүү болду,duino
2024-жылдын ноябры тарыхтагы экинчи эң жылуу ай болду,duino
"АКШда күчү 5,8 баллга жеткен жер титирөө болду",duino
Россия Башар Асадга башпаанек берди – Песков,duino
Румынияда президенттик шайлоонун биринчи турунун жыйынтыгы жокко чыгарылды,duino
Сириядагы кырдаал. Өлкөнүн мурдагы президенти Башар Асад Москвада экендиги айтылды,duino
"Калифорнияда магнитудасы 7,3кө жеткен катуу жер титирөө болду",duino
2025-жылдын негизги түсү белгилүү болду,duino
Никол Пашинян Армения менен ЖККУнун мамилеси артка кайтпас чекке жеткенин айтты,duino
Түштүк Кореянын парламенти аскердик абалды алып салууга добуш берди,duino
Түштүк Кореянын президенти өлкөдө аскердик абал киргизилгенин билдирди,duino
Румынияда президенттик шайлоо өтүүдө,duino
Антальядагы учактан чыккан өрттө жабыркагандар жок экендиги айтылды,duino
Россия эмгек мигранттарына муктаж жана алардын келишин кубаттайт – Песков,duino
Трамп Илон Маскты кызматка дайындады,duino
"Трамп жеңишин жарыялап, өзүн АКШнын кийинки президенти деп атады",duino
Казакстан дизель отуну менен камсыздоо боюнча алдыңкы 10 өлкөнүн катарына кирди,duino
Испаниядагы суу ташкын кеминде 150 кишинин өмүрүн алды,duino
Казакстанда автоунаа газынын тартыштыгы күч алды,duino
"Путин Казандагы саммитте ""БРИКСтин купюрасы"" менен таанышты",duino
"Түркиядагы террактта 5 адам каза таап, 20дан ашыгы жаракат алды",duino
Эми кант диабетин дарылоодо инсулин терапиясы талап кылынбайт,duino
ЖМКлар ФЕТОнун лидери  Фетхуллах Гюлендин каза болгондугун кабарлоодо,duino
Нейробиологдор альцгеймер оорусунда эс тутумду калыбына келтирүүнүн жолун табышты,duino
Адабият боюнча Нобель сыйлыгын түштүк кореялык жазуучу Хан Ганг алды,duino
ДССУ дүйнөгө коркунуч жаратып жаткан Марбург вирусу тууралуу эскертти,duino
АКШда бороон-чапкындан кеминде 90 адам каза тапты,duino
Дүйнө жүзүндө COVID`дин ХЕС жаңы түрү жайылууда. Ал эмнеси менен айырмаланат?,duino
Дүйнөдө жаштар арасында рак оорусуна чалдыккандардын саны өсүүдө,duino
Экперттер антибиотиктерге туруктуу патогендик микроорганизмдердин коркунучун эскертет,duino
Ливанда пейджерлердин жарылуусунан 8 адам көз жумду,duino
Бүгүн Парижде XVII жайкы Паралимпиада оюндарынын ачылыш аземи өтөт,duino
Паралимпиадалык от Франциянын шаарларын кыдырууда,duino
Таиландда маймыл чечек оорусунун бир учуру катталды,duino
Туура бир аптадан соң Парижде Паралимпиадалык оюндар башталат,duino
Франция менен Португалияда токой өртүнөн улам миңдей турист эвакуацияланды,duino
Ирандын жаңы шайланган президентинин ант берүү аземи өттү,duino
Россиянын Волгоград облусунда поезд кырсыкка учурады,duino
Парижде Олимпиада оюндары салтанаттуу түрдө ачылды,duino
Олимпиада–2024: Бүгүн спорттун төрт түрү боюнча беттештер өтөт,duino
Франция: Олимпиада оюндарынын коопсуздугуна коркунуч жок,duino
Жо Байден президенттик шайлоого катышпай турганын айтты,duino
Афинада катуу ысыктан улам туристтик жайлар жабылды,duino
ШКУга байкоочу макамын алууга 5 өлкө билдирме берди,duino
Копенгаген экологиялык жактан жоопкерчиликтүү туристтерди өзүнө тартууда,duino
Испания курамасы Европа кубогун Мадридге алып келди,duino
Испания төртүнчү жолу футбол боюнча Европа чемпиону болду,duino
Түркия ШКУнун толук кандуу мүчөсү болууга ниеттенүүдө – Эрдоган,duino
Европанын борбордук жана түштүк аймактарын ысык аптап каптады,duino
Евро-2024. Нидерланддарды жеңген Англия финалда Испания менен беттешет,duino
"Евро - 2024: Испания Францияны жеңип, финалга чыкты",duino
Кытайда торнадо кеминде 5 кишинин өмүрүн алды,duino
Ирандын жаңы президентинин ант берүү аземи июлда өтөт,duino
Дүйнөнүн эң бийик чокусу Эвересттен 11 тонна таштанды чогултулду,duino
Евро-2024: Жарым финалда беттешчү курамалар аныкталды,duino
Евро-2024: Испания менен Франция жарым финалга чыкты,duino
Иранда президенттик шайлоонун экинчи туру өтүүдө,duino
Олимпиаданын ачылыш аземинде Парижде 45 миңдей полиция кызматкери тартипти сактайт,duino
Европа чемпионатынын чейрек финалына чыккан командалар белгилүү болду,duino
Россия БУУнун Коопсуздук кеңешине бир ай төрагалык кылат,duino
Швейцариянын түштүгүндөгү суу ташкында төрт адам каза тапты,duino
Венгрия Евробиримдиктин Кеңешин жетектейт,duino
Иранда президенттик шайлоонун экинчи туру өтмөй болду,duino
Иранда мөөнөтүнөн мурда президенттик шайлоо өтүүдө,duino
Пакистанда ысыктын айынан 600дөй киши каза тапты,duino
"Россияда поезд кырсыкка учурап, кеминде 3 адам каза болду",duino
"Евро-2024: Грузия Португалияны жеңип, биринчи жолу плей-оффко чыкты",duino
Жерге биринчи жолу Айдын кыртышынын үлгүлөрү алып келинди,duino
Түштүк Кореяда заводдогу өрттө 20дан ашык адам каза тапты,duino
Меккеде каза болгон зыяратчылардын саны 1300дөн ашты,duino
Дагестанда чиркөөлөргө жана синагогага куралдуу кол салуулар болду,duino
Грецияда өрттүн айынан миңден ашуун тургун үйлөрүн таштап кетүүгө аргасыз болду,duino
Сауд Аравияда ажылык учурунда каза тапкандардын саны миңге жетти,duino
Бангладештин түштүгүндө селдин айынан кеминде тогуз киши көз жумду,duino
"Москвадагы бороондо кеминде бир адам каза болуп, бир нече киши жабыркады",duino
Сауд Аравиядагы ысыктан улам ажылык учурунда кеминде 550 зыяратчы каза болду,duino
Европа чемпионатынын алдында футбол күйөрмандары үчүн жаңы ден соолук эрежелери жарыяланды,duino
Дүйнөдө биринчи жолу Эл аралык оюндар күнү белгиленүүдө,duino
Индонезияда жергиликтүү тургундар беш метрлик питондун ичинен аялдын сөөгүн алып чыгышты,duino
Бүгүн кыргызстандыктар Күн системасындагы 6 планетанын парадын көрө алышат,duino
Анкарада Түрк ашканасы жумалыгынын алкагында көргөзмө уюштурулду,duino
Ирандын президенти Эбрахим Раисинин тик учак кырсыгынан каза болду,duino
"Кытайда селден улам 100 миңден ашуун адам эвакуацияланды, каза болгондор бар",duino
Тайванда 25 жылдан берки эң катуу жер титирөө болду,duino
Россияда терактка байланыштуу улуттук аза күтүү күнү жарыяланды,duino
"""Крокус сити холлдогу” теракттын кесепетинен көз жумгандардын саны 133кө жетти",duino
Россиядагы теракт. Каза болгондордун саны 115ке жетти,duino
"""Крокус сити холлдогу” теракттын кесепетинен көз жумгандардын саны 93кө жетти",duino
Москвадагы теракттын кесепетинен каза болгондордун саны 60тан ашты,duino
"Россия президентин шайлоо: Владимир Путин шайлоочулардын 87,32% добушуна ээ болду",duino
Facebook жана Instagram иштебей калышы глобалдык мүчүлүштүк катары сыпатталды,duino
Түркиянын Коммуникация башкармалыгынын жетекчиси: Палестина маселесинин глобалдык күндемден алынышына жол бербейбиз,duino
Россиянын Жогорку сотунун төрагасы Вячеслав Лебедев каза болду,duino
"УКМК ""Унаа"" мамлекеттик мекемесинин бөлүм башчысын жана адисин кармады",duino
Түркия 2023-жылды рекорддук туризм көрсөткүчтөрү менен жапты,duino
Грузиянын премьер-министри Ираклий Гарибашвили кызматтан кетти,duino
Путин Россиянын президенттигине талапкер катары катталды,duino
Аламүдүн районунун аткаминерлери эс алуу аймагы үчүн бөлүнгөн жерди мыйзамсыз сатып салышкан,duino
Түркиянын алгачкы астронавты Гезеравжы Ax-3 миссиясынын алкагында космоско учту,duino
"Түркиянын Кара деңизи ""2024-жылы зыярат кылуучу мыкты жерлер"" тизмесине кошулду",duino
Эквадордо куралдуу кагылыш учурунда ондой киши набыт болду,duino
Францияда премьер-министр кызматына Габриэль Атталь дайындалды,duino
Франциянын премьер-министри Элизабет Борн отставкага кетти,duino
АКШнын мамлекеттик карызы 34 триллион доллардан ашты,duino
"Кытайда жер титирөөдөн 100дөн ашык киши каза болуп, 400дөй адам жаракат алды",duino
Кытайда V дүйнөлүк медиа саммит башталды,duino
Түркиянын биринчи айымы Палестинада туруктуу тынчтыкты орнотууга чакырды,duino
"Израилдин соккусунан Газада 13,3 миңден ашуун адам каза болгону айтылды",duino
Израилдин соккусунан Газа тилкесинде каза болгондордун саны 11 миңден ашты,duino
Түркия Республиканын негизделгендигинин 100 жылдыгын белгилеп жатат,duino
Афганистандагы жер титирөөдөн каза болгондордун саны 2 миңден ашты,duino
Иракта үйлөнүү тоюнда чыккан өрттөн жүздөн ашуун киши каза болду,duino
Мароккодо үч күндүк аза күтүү жарыяланды,duino
Махачкала: май куючу жайдагы жарылуудан 30 киши мерт болду,duino
"""Барби"" тасмасы дүйнөлүк прокатта миллиард доллар чогултту",duino
Кытайда бала бакчага кол салуудан алты киши курман болду,duino
Meta компаниясы Threads социалдык түйүнүн ишке киргизди,duino
Иран ШКУга толук кандуу мүчө болуп кошулду,duino
Түркиянын жээктеринде 80ден ашуун афганистандык мигрант куткарылды,duino
РФ Куралдуу күчтөрүнө козголоңчуларды зыянсыздандыруу буйругу берилди — ЖМК,duino
"Куралдуу көтөрүлүш. РФ Коргоо министрлиги ""Вагнердин"" жоокерлерине кайрылды",duino
Казакстанда токой өртүнөн 14 адам каза болду,duino
Түркия: Эрдоган добуштардын 53% алды,duino
Түркияда 28-майда президенттик шайлоонун экинчи айлампасы өтөт,duino
Түркияда президенттик шайлоонун экинчи айлампасы болушу мүмкүн,duino
"Балдарды сыйкырлар дүйнөсүнө чакырып, руханий ырахат тартуулаган Стамбулдагы музейлер",duino
Түркияда жер титирөөдөн каза болгондордун саны 50 миң 399 адамга жетти,duino
Түркиядагы жер титирөөдөн каза болгон адамдардын саны 48 миңден ашты,duino
Саякаттоо үчүн дүйнөдөгү эң коопсуз өлкөлөр белгилүү болду,duino
Түркиядагы жер титирөөдөн каза болгон адамдардын  саны дээрлик 46 миңге жетти,duino
Түркияда жер титирөөдө ураган имараттарды курууга тиешелүү 247 адам камакка алынды,duino
Түркиядагы жер титирөөдөн каза болгондордун саны 45 миң адамдан ашты,duino
"Малатьядагы жер титирөөдөн бир адам каза болуп, 100дөн ашуун жаран жаракат алды",duino
"Түркияда магнитудасы 5,6га жеткен жер титирөө катталды",duino
"Түркиядагы жер титирөө. Каза болгондордун саны 44,3 миң адамга жетти",duino
"Түркиядагы жер титирөөдөн каза болгондордун саны 44,2 миң адамга жетти",duino
Түркияда кичиавтобус жер көчкүнүн алдында калды – видео,duino
Тажикстанда жер титиреди,duino
Дүйнөдө ар эки жумада бир тил жоголот – ЮНЕСКО,duino
Түркиядагы жер титирөөдөн жабыркагандарга кеминде 500 миң үй курулушу керек,duino
Түркиядагы акыркы жер титирөөдөн жабыркагандардын саны 562ге жетти,duino
Түркиядагы акыркы жер титирөөдөн каза болгондордун саны 6 адамга жетти,duino
"Түркияда кайрадан жер титиреп, үч адам каза болду",duino
Болгарияда жүк ташуучу унаадан 18 качкындын сөөгү табылды,duino
Түркиядагы жер силкинүүдөн каза болгондордун саны 41 миң адамга жетти,duino
Түркиядагы жер титирөөдөн каза болгондордун саны 39 миң 672 адамга жетти,duino
Жаңы Зеландияда очогунда күчү 6 баллга жеткен жер титирөө катталды,duino
"Түркиядагы жер силкинүүдөн каза болгондордун саны 35,4 миң адамга жетти",duino
"Түркиядагы жер силкинүүдөн каза болгондордун саны 31,6 миң адамга жетти",duino
Түркиядагы жер титирөөнүн кесепети 84 млрд доллар деп бааланууда,duino
ДССУ Түркия менен Сирияга 109 тонна дары-дармек жөнөттү,duino
"Түркияда зилзаладан курман болгондордун саны 24,6 миңден ашты",duino
Түркияда жер титирөөдөн каза болгондордун саны 20 миңден ашты,duino
Индонезияда жер титирөөдөн кеминде 4 адам каза болду,duino
Түркиядагы зилзалада каза болгондордун саны 18 миңге чукулдады,duino
Түркияда жер титирөөдөн каза болгондордун саны 12 миңден ашты,duino
Түркияда жер титирөөдөн каза болгондордун саны 9 миңден ашты,duino
Түркияда жер титирөөдөн курман болгондордун саны 7 миңден ашты,duino
Түркияда каза болгондордун саны дээрлик 6 миңге жетти,duino
Сирияда зилзаладан улам урандынын алдында калган аял көз жарды – видео,duino
Түркияда бүгүн эртең менен кайрадан жер титиреди,duino
Түркиядагы жер титирөөдөн каза болгондор үч миңге жакындады,duino
"Түркияда күчү 7,8 баллга жеткен жаңы жер титирөө катталды",duino
Түркия жана Сирияда катуу жер титиреди. Курмандыктар бар,duino
