Title,topic
Арзыбек Кожошев IRF 2024 Дүйнөлүк конгрессине катышты,eaes
ЕЭК: Өнөр жайдагы биргелешкен кооперативдик долбоорлорго каржылык жардам көрсөтүлөт,eaes
Беларуста өткөн ЕӨАКтин жыйынынын жыйынтыгында бир катар документтерге кол коюлду,eaes
Акылбек Жапаров Евразиялык өкмөттөр аралык кеңештин жыйынына катышууда,eaes
Акылбек Жапаров: Азык-түлүк коопсуздугун камсыздоо ЕАЭБ ишмердигинин артыкчылыктуу багыттарынын бири,eaes
ЕАЭБде жеткиликтүү санариптик кызматтардын географиясы жана аудиториясы тездик менен кеңейүүдө – Саркисян,eaes
ЕАЭБ менен Кыргызстандын соода-экономикалык алакасы артты,eaes
Эксперт ЕАЭБдин Кыргызстандын экономикасына тийгизген пайдасы жөнүндө айтып берди,eaes
Акыркы жылдары Кыргызстандын ЕАЭБ өлкөлөрүнө экспорту кыйла өстү – эксперт,eaes
Москвада Жогорку Евразиялык экономикалык кеңештин мааракелик жыйыны өтүп жатат,eaes
ЕАЭБ өлкөлөрүндө илимий даражалар бирдей деңгээлде тааныла баштады,eaes
Адылбек Касымалиев ЕЭК Кеңешинин кезектеги жыйынына катышты,eaes
Адылбек Касымалиев ЕЭК кеңешинин жыйынына катышты,eaes
Кыргызстан ЕАЭБдин алкагында өткөрүү пункттарын жайгаштыруу боюнча өз милдеттенмелерин аткарды,eaes
Адылбек Касымалиев Алматыда өтүп жаткан ЕӨАКтин кеңейтилген курамдагы жыйынында сөз сүйлөдү,eaes
ЕАЭБ өлкөлөрүндө эмгек акы өсүүдө. Кыргызстан алдыңкы үчтүккө кирди,eaes
Адылбек Касымалиев ЕЭК кеңешинин жыйынына катышты. Күн тартибинде 34 маселе каралды,eaes
"2023-жылдын 11 айында ЕАЭБде өнөр жай өндүрүшү 3,8%га өстү",eaes
Санкт-Петербургда ЖЕЭКтин кезектеги отуруму болуп өттү,eaes
Санкт-Петербургдагы ЖЕЭКтин кезектеги отурумунун жыйынтыгы боюнча 20га жакын документке кол коюлду,eaes
ЕАЭБ органдарында төрагалык кылуу Арменияга өттү,eaes
2024-жылдан тарта ЕЭК коллегиясына Бакытжан Сагинтаев төрагалык кылат,eaes
Адылбек Касымалиев ЕЭК кеңешинин кезектеги жыйынына катышты,eaes
Евразиялык кайра камсыздандыруу компаниясынын биринчи отуруму болуп өттү,eaes
Кыргызстанга электромобиль импорттоого тарифтик жеңилдиктер  узартылды,eaes
Бишкекте өткөн ЕӨАК жыйынында бир катар документтер каралды. Тизме,eaes
Бишкекте Евразиялык өкмөттөр аралык кеңешинин тар курамдагы жыйыны өттү,eaes
Кыргызстан салыктык кирешелердин өсүүсү боюнча ЕАЭБ өлкөлөрүн артта калтырды,eaes
Акылбек Жапаровдун катышуусунда ЕӨАКтин кезексиз жыйыны болду,eaes
Беларуста ЕАЭБге мүчө мамлекеттердин Биргелешкен коллегиясынын отуруму өттү,eaes
ЕАЭБдин бардык өлкөлөрүндө баалардын жана тарифтердин өсүшү белгиленди,eaes
Акылбек Жапаров Сочиде өткөн III Евразия конгрессинин пленардык жыйынына катышты,eaes
Сочиде өткөн КМШ өкмөт башчыларынын кеңешинде бир катар макулдашууларга кол коюлду,eaes
Акылбек Жапаров: ЕАЭБ 9 жыл ичинде өзүнүн чоң интеграциялык потенциалын көрсөттү,eaes
Сочи шаарында  Евразиялык конгресс өз ишин баштады,eaes
ЕАЭБдин бардык өлкөлөрүндө баалардын жана тарифтердин жогорулашы белгиленген,eaes
ЕЭК кеңеши бир катар маанилүү чечимдерди кабыл алды,eaes
ЕЭКте кыргыз экспорттоочулары үчүн бажы процедурасын жөнөкөйлөтүү талкууланды,eaes
Евразия экономикалык комиссиясынын кеңешинин кезектеги жыйыны өттү,eaes
Акылбек Жапаров: Кыргызстан былтыр биринчи жолу ЕАЭБдин жалпы бюджетине 4 млрд сом которду,eaes
Акылбек Жапаров: ЕАЭБ алкагында санариптик технологияларды жоопкерчиликтүү колдонууга умтулуубуз керек,eaes
Евразия өкмөттөр аралык кеңешинин кийинки жыйыны Сочиде өтөт,eaes
Акылбек Жапаров ЕӨАКнын тар курамдагы жыйынына катышты,eaes
Алматыда ЕӨАК кезектеги жыйыны тар курамда башталды,eaes
Адылбек Касымалиев ЕЭК кеңешинин кезектеги жыйынына катышты,eaes
ЕЭК кеңешинин 2023-жылдагы биринчи отуруму өттү — күн тартибинде 31 маселе каралды,eaes
"2022-жылдын башынан бери ЕАЭБде өнөр жай өндүрүшүнүн көлөмү $1,3 трлн түздү",eaes
ЕЭК кеңешинин 2022-жылдагы жыйынтыктоочу кеңешмеси болуп өттү,eaes
Бишкекте Жогорку Евразиялык экономикалык кеңештин кезектеги жыйыны аяктады,eaes
ЖЕЭК жыйынынын жыйынтыгы боюнча 15 документ кабыл алынды — тизме,eaes
2023-жылы ЕАЭБ органдарындагы төрагалык кылуу Россияга өттү,eaes
Бишкекте ЖЕЭКтин кеңейтилген курамдагы отуруму башталды,eaes
Бишкекте Садыр Жапаровдун төрагалыгы астында ЖЕЭК жыйыны өтүп жатат,eaes
Бишкектеги ЖЕЭК жыйынын 230 жалпыга маалымдоо каражатынын өкүлдөрү чагылдырууда,eaes
Бишкектеги ЖЕЭК жыйыны – күн тартибинде 17 маселе каралат,eaes
Бүгүн Бишкекте Садыр Жапаровдун төрагалыгы астында ЖЕЭК жыйыны өтөт,eaes
ЕЭК коллегиясынын төрагасы Михаил Мясникович Бишкекке келди,eaes
ЕАЭБ өлкөлөрүндөгү орточо айлык эмгек акынын эң жогорку өсүшү Кыргызстанда катталды,eaes
Бишкекте Жогорку Евразиялык экономикалык кеңештин жыйыны өтөт,eaes
Евразия экономикалык комиссиясынын кеңешинин кезектеги жыйыны өттү,eaes
ЕАЭБ макулдашуусунун алкагында пенсиялар чектелүүдө,eaes
2022-жылдын сентябрында ЕАЭБде жумушсуздук 18%га кыскарган,eaes
ЕЭК кеңешинин кезектеги жыйыны болуп өттү — күн тартибинде 22 маселе каралды,eaes
Бишкекте «Эмгек рыногу боюнча евразиялык диалог» эл аралык форуму өтүп жатат,eaes
Адылбек Касымалиев Евразия экономикалык комиссиясынын кеңешинин кезектеги жыйынын өткөрдү,eaes
Алишеров: Кыргызстан экспорт боюнча пандемияга чейинки көрсөткүчтү ашып өттү,eaes
Быйыл ЕАЭБде эң көп айлык акынын өсүшү Кыргызстан менен Казакстанда катталган,eaes
Евразия өкмөттөр аралык кеңешинин отурумунда бир катар документтерге кол коюлду - тизме,eaes
Акылбек Жапаров Евразия өкмөттөр аралык кеңешинин жыйынтыгы боюнча билдирүү жасады,eaes
Касымалиев: КМШ жана ЕАЭБ жаштар форуму жыл сайын өтүүчү аянтча болот деп ишенем,eaes
Чолпон-Атада Евразия өкмөттөр аралык кеңешинин жыйыны аяктады,eaes
Евразиялык өкмөттөр аралык кеңешинин кезектеги отуруму Арменияда өтөт,eaes
ЕЭКке 10 жыл. Чолпон-Атада маркаларды жокко чыгаруу аземи өттү,eaes
Бишкекте “Бирдиктүү эмгек рыногун өнүктүрүү боюнча Евразиялык диалог” форуму өтөт,eaes
Жапаров: Акыркы жети айда Кыргызстандын ИДПсынын көлөмү 425 млрд сомду түздү,eaes
Чолпон-Атада Евразиялык өкмөттөр аралык кеңешинин отуруму башталды,eaes
Кыргызстанга Өзбекстандын премьер-министри Абдулла Арипов келди,eaes
Чолпон-Атада ЕӨАКтин тар курамдагы жыйыны өттү,eaes
ЕАЭБ өкмөт башчылары Евразиялык кайра камсыздандыруу компаниясын түзүү маселесин карайт,eaes
Чолпон-Атада Евразия өкмөттөр аралык кеңешинин тар курамдагы жыйыны башталды,eaes
Кыргызстанга Беларустун премьер-министри Роман Головченко келди,eaes
Россия өкмөтүнүн төрагасы Михаил Мишустин Кыргызстанга келди,eaes
Жаманкулов: Жаштар форуму ЕАЭБ жаштарынын кызматташуусуна жакшы аянтча түзөт,eaes
Кыргызстанга Казакстандын премьер-министри Алихан Смаилов келди,eaes
"Жаштар форумунун алкагында ""КМШ жана ЕАЭБ жаш лидерлери"" панелдик талкуусу өттү",eaes
Кыргызстанга Армениянын премьер-министри Никол Пашинян келди,eaes
ЕАЭБде жаштардын демилгесин колдоо фонду түзүлүшү мүмкүн – Мясникович,eaes
Кыргызстанга Азербайжандын премьер-министри Али Асадов келди,eaes
Акылбек Жапаров: КМШ жана ЕАЭБ жаштарынын күн тартиби евразиялык интеграциянын жаңы векторлорунун бири,eaes
"Чолпон-Атада КМШ жана ЕАЭБ өлкөлөрүнүн ""Келечек"" Жаштар форуму башталды",eaes
ЕЭК коллегиясынын төрагасы Михаил Мясникович Чолпон-Атага келди,eaes
Ысык-Көлдө КМШ жана ЕАЭБ өлкөлөрүнүн жаштарынын форуму өтөт,eaes
ЕЭК кеңешинин кезектеги жыйынында бир катар чечимдер кабыл алынды,eaes
ЕЭК Кеңешинин кезексиз жыйыны өттү,eaes
Арзыбек Кожошев Кыргызстандын атынан ЕЭКтин министри болуп дайындалды,eaes
ЕАЭБ өлкөлөрүнүн улуттук валюталардагы өз ара эсептешүүлөрү 75 пайызга өстү — Малкина,eaes
Малкина: Быйыл импорт алмаштыруу маселелерине өзгөчө көңүл бурулууда,eaes
Малкина: Экономикалык форумдун жыйынтыгы боюнча 17 кызматташтык программасына кол коюлду,eaes
ЕАЭБ лидерлери бүгүнкү саммиттин жыйынында кандай маселелерди карашат?,eaes
ЕАЭБ өлкөлөрүнүн лидерлери видеоконференция аркылуу Евразиялык экономикалык форумга катышты,eaes
ЕАЭБ форумунда Казакстандан альянска кирген өлкөлөргө экспорттун өскөнү айтылды,eaes
ЕАЭБ ЖОЖдору биргелешип билим берүү туризмин өнүктүрө алат,eaes
Экономикалык форумда Россияда кыргыз сомун алмашуу операцияларына киргизүү сунушталды,eaes
Слепнев: ЕАЭБде онлайн соода жакында Европа өлкөлөрүнүн деңгээлине жакындайт,eaes
ЕЭК соода базарларын турукташтырууга 200 млрд рубль каражат жумшайт,eaes
ЕАЭБдин алкагында энергетикалык коридорлорду түзүү пландалууда,eaes
Исаева: Бизнес тармагы экономикалык форумга активдүү кызыгуусун көрсөтүп жатат,eaes
ЕЭФ: ЕАЭБдин транспорттук системасы жакшыртуу жана санариптештирүүгө муктаж,eaes
ЕЭФте экономикалык кызматташтык багыттарынын бири катары туризмди өнүктүрүү талкууланды,eaes
Буржуев: ЕАЭБдин бирдиктүү маалыматтык системасын түзүү өз убагында жасала турган чара болот,eaes
