Title,topic
"Кыргызстанда жыл башынан бери 2,7 миң өрт катталып, 34 адам каза тапты",kyrsyk
Кыргызстанда жыл башынан бери 130 табигый кырсык катталды – ӨКМ,kyrsyk
Өлкө аймагында акыркы суткада 15 өрт кырсыгы катталды,kyrsyk
Казакстандагы учак кырсыгынан 38 адам каза тапты,kyrsyk
Казакстандагы учак кырсыгы. Жабыркаган кыргызстандыктар Мангистау облустук ооруканасында дарыланууда,kyrsyk
Казакстандагы учак кырсыгы. Кыргызстандын 3 жараны тең тирүү экени аныкталды,kyrsyk
Казакстандагы кырсык. Учактагы кыргызстандыктардын абалы айтылды,kyrsyk
Казакстанда кулаган учакта Кыргызстандын үч жараны болгон,kyrsyk
Кыргызстанда бир суткада 15 өрт кырсыгы катталды,kyrsyk
Бишкекте эки кабаттуу турак үйдөн өрт чыкты,kyrsyk
Өлкө аймагында сутка ичинде 12 өрт кырсыгы катталды,kyrsyk
Кыргызстанда сутка ичинде 14 өрт кырсыгы катталды,kyrsyk
Өзгөндө өрттүн кесепетинен 3 жашар бала көз жумду,kyrsyk
Өзгөн шаарында турак үйдөн өрт чыкты,kyrsyk
"Өлкө аймагында акыркы суткада 24 жол кырсыгы катталып, эки адам көз жумду - ЖКККББ",kyrsyk
Бишкекте автобустун катышуусунда 5 жол кырсыгы катталды,kyrsyk
Сузакта турак үйдөн өрт чыкты,kyrsyk
Кыргызстанда сутка ичинде 17 өрт кырсыгы катталды,kyrsyk
Ошто жер титиреди,kyrsyk
Ысык-Көлдө очогунда 4 баллга жеткен жер титирөө катталды,kyrsyk
Баткенде көп кабаттуу үйдөн чыккан өрттөн 6 адам куткарылды,kyrsyk
Кыргызстанда сутка ичинде 21 өрт кырсыгы катталды,kyrsyk
33 жаштагы келин күйөөсүнүн колунан каза тапты – милиция,kyrsyk
Кыргызстанда сутка ичинде 25 өрт кырсыгы катталды,kyrsyk
Кыргызстанда сутка ичинде 18 өрт кырсыгы катталды,kyrsyk
Тогуз-Тородо мектеп өрттөндү,kyrsyk
Бишкек – Ош унаа жолунда кар көчкү түшүүсү күтүлүүдө,kyrsyk
Бишкекте өрттөнүп жаткан батирден 84 жаштагы карыя куткарылды,kyrsyk
Өлкө аймагында бир суткада 24 өрт кырсыгы катталды,kyrsyk
"Бишкектеги көп кабаттуу үйдөн өрт чыгып, 20 адам эвакуацияланды",kyrsyk
Бишкектеги кол салуу. ИИМ иликтөөнү өз көзөмөлүнө алды,kyrsyk
Ысык-Көлдүн Ананьево айылында турак үйдөн өрт чыкты,kyrsyk
Кыргызстанда сутка ичинде 19 өрт кырсыгы катталды,kyrsyk
Бишкекте “Чөнтөк уурулукка жол жок!” аталышындагы рейд өтүүдө,kyrsyk
Кыргызстанда сутка ичинде 22 өрт кырсыгы катталды,kyrsyk
Билим берүү министрлиги Сокулуктагы бала бакчада чарчап калган наристенин окуясы боюнча комментарий берди,kyrsyk
Кыргызстандын түштүгүндө жер титирөө катталды,kyrsyk
Кыргызстанда сутка ичинде 14 өрт кырсыгы катталды,kyrsyk
Ош облусунун башчысы Кара-Кулжадагы жер көчкү жүргөн аймакка барды,kyrsyk
Кыргызстанда сутка ичинде 14 өрт кырсыгы катталды,kyrsyk
"Кыргызстанда жыл башынан бери 2,7 миң өрт катталып, 34 адам каза тапты",kyrsyk
Кыргызстанда сутка ичинде 13 өрт кырсыгы катталды,kyrsyk
Кыргызстанда сутка ичинде 12 өрт кырсыгы катталды,kyrsyk
Өлкө аймагында сутка ичинде 13 өрт кырсыгы катталды,kyrsyk
"Россияда кыргызстандыктар жол кырсыгына кабылып, бирөө каза болду",kyrsyk
Кыргызстанда сутка ичинде 6 өрт кырсыгы катталды,kyrsyk
Ош облусунда күчү 3 баллга жеткен жер титирөө катталды,kyrsyk
Бишкекте жөө жүргүнчүнү сүзгөн айдоочу каза тапты,kyrsyk
Кыргызстанда сутка ичинде 18 өрт кырсыгы катталды,kyrsyk
Бишкекте автобус сүзүп кеткен жаран каза тапты,kyrsyk
Чүйдө 12 окуучу таттуудан ууланды,kyrsyk
Кыргызстанда сутка ичинде 14 өрт кырсыгы катталды,kyrsyk
Кыргызстандын түштүгүндө жер титиреди,kyrsyk
Бишкектеги турак үйдөн чыккан өрт өчүрүлдү,kyrsyk
Бишкекте турак үйдөн өрт чыкты,kyrsyk
Кыргызстанда сутка ичинде 7 өрт кырсыгы катталды,kyrsyk
“Ынтымак Ордонун” тушунда жол кырсыгы катталды - сүрөт,kyrsyk
Кадамжайдагы психоневрологиялык стационардык мекемесинде мыйзам бузуулар аныкталды,kyrsyk
Бишкекте автобустун катышуусунда жол кырсыгы катталды. Жабыркагандар бар,kyrsyk
Кыргызстанда сутка ичинде 8 өрт кырсыгы катталды,kyrsyk
Бишкектин Ак-Өргө конушунда турак үйдөн өрт чыкты,kyrsyk
Кыргызстанда сутка ичинде 18 өрт кырсыгы катталды,kyrsyk
"Ошто канализация казып жатып, топурактын астында калган жаран куткарылды",kyrsyk
Токмокто катуу шамал мектептин чатырын учуруп кетти,kyrsyk
Кантта кагаз чыгаруучу ишканадан чыккан өрттөн бир адам каза болду,kyrsyk
Бишкекте тигүү цехинен чыккан өрт толук өчүрүлдү,kyrsyk
Кантта заводдун аймагынан чыккан өрттү өчүрүүгө 5 күжүрмөн эсеп тартылды,kyrsyk
Бишкекте тигүү цехинен чыккан өрттү толук өчүрүү аракети көрүлүүдө,kyrsyk
Талас облусунун аймагында жер титирөө катталды,kyrsyk
Кыргыз-тажик чек арасында жер силкинди,kyrsyk
Кыргызстан сутка ичинде 8 өрт кырсыгы катталды,kyrsyk
"Ош шаарында конок үйүнөн өрт чыгып, 2 бөлүм тартылды",kyrsyk
Кыргызстанда сутка ичинде 11 өрт кырсыгы катталды,kyrsyk
Баткен облусунун аймагында кайрадан жер титиреди,kyrsyk
"Бишкектеги ""Вефа"" соода борборунда өрт чыкты. Жабыркагандар жок",kyrsyk
Кыргызстанда сутка ичинде 8 өрт кырсыгы катталды,kyrsyk
Баткен облусунда күчү 4 баллга жеткен жер титирөө катталды,kyrsyk
Кыргызстанда сутка ичинде 11 өрт кырсыгы катталды,kyrsyk
Кыргызстанда акыркы суткада 11 өрт кырсыгы катталды,kyrsyk
Кыргызстанда бир суткада 18 өрт кырсыгы катталды,kyrsyk
"Кыргызстанда жыл башынан бери 3,5 миңден ашуун өрт кырсыгы катталды",kyrsyk
Кыргызстанда сутка ичинде 18 өрт кырсыгы катталды,kyrsyk
"Жумгалда мал кайтарууга кетип, дайынсыз болуп жаткан жарандын сөөгү табылды",kyrsyk
Кыргызстанда сутка ичинде 7 өрт кырсыгы катталды,kyrsyk
Сокулукта темирди кайра иштетүүчү ишканадан өрт чыкты,kyrsyk
Жумгалда дайынсыз болуп жаткан ата-баланы издөө иштери токтотулду,kyrsyk
