Title,topic
Маданият министри спортчуларга мамлекеттик сыйлыктарды тапшы...,madaniat
"Маданият министри айылдагы китепканаларды жаап, ордуна книгоматтарды коюну сунуштады",madaniat
Быйыл “Учур” театрына жаңы заманбап имарат салынат,madaniat
Кыргызстандык режиссердун тасмасы Непалдагы эл аралык кинофестивалга катышат,madaniat
"Берлинде “Кыргызстан, мен сени сүйөм” көркөм тасмасынын бет ачары болду",madaniat
Бегимай Турусбекова Россиянын “Царица” музыкалык долбоорунда экинчи орунду ээледи,madaniat
Бишкекте космостук окуялар камтылган “Марска учкан кыргыздар” тасмасы көрсөтүлөт,madaniat
Эртең Бишкектеги Ала-Тоо аянтында  майрамдык концерт өтөт,madaniat
Бишкектеги музейлердин биринде мастер-класстар жана тасмалар акысыз көрсөтүлөт,madaniat
Бишкекте “Чиркин өмүр” спектакли көрсөтүлөт,madaniat
Кыргыз акыны Сагынбүбү Беркиналиева Уильям Шекспир атындагы сыйлыкка татыды,madaniat
Чыңгыз Айтматовдун чыгармаларында жалпы адамзаттык көйгөйлөр камтылган – Бакыт Асангул,madaniat
Ташкентте Чыңгыз Айтматовдун туулган күнүнө арналган чыгармачылык кече өттү,madaniat
Ташкентте ТМУнун медиа жана маалымат суроолору боюнча жумушчу тобунун жыйыны өттү,madaniat
Маданият министри Москвада билимин жогорулатып келгендерге сертификаттарды тапшырды,madaniat
Эртең “Кыргыз жүзү” көргөзмө-сынагынын жеңүүчүлөрү сыйланат,madaniat
Кыргызстан менен Өзбекстандын маданий кызматташтыгы талкууланды,madaniat
Бишкекте Тамила Маматованын “Жашоо ыргактары” аттуу жеке көргөзмөсү өтөт,madaniat
"Берлин шаарында ""Айтматов жана тоолор"" аттуу маданий кече өттү",madaniat
"Бишкекте ""Улуу-Элес"" I эл аралык балет сынагы жыйынтыкталды",madaniat
"Бишкекте ""Кыргыз-Өзбек достугу"" аттуу чоң концерт өттү",madaniat
Кыргызстандын Алай музыкалуу драма театры Өзбекстандын театрлары менен кызматташат,madaniat
Алматыда улуу манасчы Саякбай Каралаевдин чыгармалар жыйнагынын бет ачары өттү,madaniat
Кыргызстандан барган делегация Казакстандагы М.Ауэзовдин үй-музейи менен таанышты,madaniat
Анкарада Чыңгыз Айтматовдун туулган күнүнө арналган иш-чара өттү,madaniat
"Борбор калаада ""Айтматов ааламы"" аттуу иш-чара өттү",madaniat
Чыңгыз Айтматов кыргыз-өзбек адабиятынын достугунун данакери – Ахмаджон Мелибоев,madaniat
Ташкентте улуу жазуучу Чыңгыз Айтматовдун туулган күнү белгиленди,madaniat
Адабият күнүнө карата Чыңгыз Айтматовдун эстелигине гүл коюлду,madaniat
Улуттук кинематография кеңешинин биринчи жыйыны өттү,madaniat
"Эдил Байсалов ""Куйручук"" балеттик спектаклинин премьерасына катышты",madaniat
