Title,topic
Бакытбек Жетигенов президенттин Ысык-Көл облусундагы ыйгарым...,politika
Уланбек Далиев президенттин Ысык-Көл облусундагы ыйгарым укуктуу өкүлү кызматынан бошотулду,politika
Нурлан Исаков «Кыргызалтындын» төрагасынын орун басары болуп дайындалды,politika
Алтынбек Жумаев Майлуу-Суу шаарынын мэри болуп дайындалды,politika
Владимир Шадыканов коргоо министринин орун басары болуп дайындалды,politika
Медер Абакиров тышкы иштер министринин орун басары болуп дайындалды,politika
Нурлан Эрматов Жалал-Абад облусунун башчысынын биринчи орун басары болду,politika
Мамасалы Акматов ээлеген кызматынан бошотулду,politika
"Бузурман Субанов ""Кумтөр Голд Компанинин"" президенти болуп шайланды",politika
"""Учур"" жаштар театрына жаңы директор дайындалды",politika
Каракол мамлекеттик музыкалык окуу жайынын директорлугуна сынак жарыяланды,politika
Алмазбек Усенов Жеке маалыматтарды коргоо боюнча мамагенттиктин директору болду,politika
Жеке маалыматтарды коргоо боюнча мамагенттиктин директору ээлеген кызмат ордунан бошотулду,politika
Курванбек Авазов УКМК төрагасынын орун басары болуп дайындалды,politika
Таалайбек Абыкеев Бишкек шаардык сотунун төрагасы болуп дайындалды,politika
Айбек Молдогазиев Кыргызстандын АКШдагы элчиси болуп дайындалды,politika
Айбек Молдогазиев тышкы иштер министринин орун басары кызматынан бошотулду,politika
Ички иштер министрлигинде бир катар кадрдык өзгөрүүлөр болду,politika
Айбек Шаменов президенттин Баткен облусундагы өкүлү болуп дайындалды,politika
Абдикарим Алимбаев Чек ара кызматынын директору болуп дайындалды,politika
УКМК Антитеррордук борборунун директору Айбек Шаменов ээлеген кызматынан бошотулду,politika
Чек ара кызматынын директору Уларбек Шаршеев ээлеген кызматынан бошотулду,politika
Президенттин Баткен облусундагы өкүлү кызматынан бошотулду,politika
Кубанычбек Ысабеков Салык кызматынын төрагасынын орун басары болуп дайындалды,politika
Дүйшөнкул Чотонов Кыргызстандын  Өзбекстандагы элчиси болуп дайындалды,politika
Алмамбет Шыкмаматов Мамлекеттик салык кызматынын төрагасы болуп дайындалды,politika
Бакыт Сыдыков экономика жана коммерция министри болуп дайындалды,politika
Мамкурулуштун Баткен региондук башкармалыгына жаңы жетекчи дайындалды,politika
Данияр Амангелдиев минкаб төрагасынын биринчи орун басарынын милдетин аткаруучу болду,politika
Адылбек Касымалиев министрлер кабинетинин төрагасынын милдетин аткаруучу болуп дайындалды,politika
Президент Акылбек Жапаровду башка ишке өткөндүгүнө байланыштуу кызматтан бошотту,politika
"Таластагы ""Манас ордо"" комплексине жаңы директор дайындалды",politika
Равшанбек Сабиров эмгек министри болуп дайындалды,politika
Кыдыкбек Кыдыров Салык кызматынын төрагасынын милдеттерин убактылуу аткарат,politika
Исламбек Кыдыргычов Салык кызматынын төрагасынын орун басарлыгынан убактылуу бошотулду,politika
Салык кызматынын төрагасы Алтынбек Абдувапов ээлеген кызматынан убактылуу четтетилди,politika
Аман Салиев Бириккен Араб Эмираттарындагы элчи болуп дайындалды,politika
Абдилатиф Жумабаев Бириккен Араб Эмираттарындагы элчи кызматынан бошотулду,politika
Тогуз-Торо райондук милициясына жаңы жетекчи дайындалды,politika
Равшанбек Сабиров эмгек министринин милдетин аткаруучу болуп дайындалды,politika
Жылдыз Полотова эмгек министри кызматынан бошотулду,politika
Капарбек Адиев Свердлов районунун акими болуп дайындалды,politika
Нурбек Букуев Улуттук онкология жана гематология борборунун директору болуп дайындалды,politika
"Алмаз Кулматов ""Кыргыз Туусу"" гезитинин башкы редактору болуп дайындалды",politika
Жергиликтүү өз алдынча башкаруу иштери боюнча мамагенттиктин түндүк башкармалыгына жаңы жетекчи дайындалды,politika
Ноокат райондук ички иштер бөлүмүнө жаңы жетекчилер дайындалды,politika
Салтанат Аманова Ош шаардык билим берүү башкармалыгынын башчысы болду,politika
Руслан Мусаев Дин иштери боюнча мамкомиссиянын директорунун орун басары болду,politika
Санариптик өнүктүрүү министрине жаңы орун басарлар дайындалды,politika
Адилет Абылбеков  “Бишкекжашылкурулуш” ишканасынын директору болуп дайындалды,politika
Адилет Билимбек уулу Бишкек аза кызматын көрсөтүү агенттигинин башчысы болду,politika
Бакыт Шеримбеков мэриянын муниципалдык мүлктү башкаруу департаментин жетектеди,politika
Алия Койчукеева Ленин райондук билим берүү башкармалыгынын башчысы болду,politika
Уран Мусаев мэриянын жеке турак жай курулушу  жана шаар куруу департаментин жетектеди,politika
Өсүмдүктөрдү химиялаштыруу департаментине жаңы директор дайындалды,politika
"Азиз Биймырза уулу ""Манас"" улуттук академиясынын президенти болду",politika
Надира Жусупбекова билим берүү министринин орун басары болуп дайындалды,politika
Канатбек Осмонов Сот департаментинин директорунун орун басары болуп дайындалды,politika
"""Кыргыз Туусу"" жана ""Слово Кыргызстана"" гезиттеринин редакторлору алмашты",politika
“Бишкекшаарлифт” ишканасына жаңы директор дайындалды,politika
Темирбек Эркинов тышкы иштер  министринин орун басары болуп дайындалды,politika
Баялы Досалиев Кочкор районунун акими болуп дайындалды,politika
Кочкор районунун акими Камил Чоткараев кызматынан бошотулду,politika
Муса Жаманбаев Кыргызстандын Өзбекстандагы элчиси кызматынан бошотулду,politika
Бактыбек Аманбаев Кыргызстандын АКШдагы элчиси кызматынан бошотулду,politika
Медербек Сатыев Жогорку соттун төрагасы болуп дайындалды,politika
Светлана Аширова Кыргыз мамлекеттик циркинин директору болуп дайындалды,politika
Муса Катаганов Монополияга каршы жөнгө салуу кызматынын төрагасынын орун басары болду,politika
Социалдык коргоо департаментине жаңы директор дайындалды,politika
Замирбек Базарбеков Жогорку соттун төрагасы кызматынан бошотулду,politika
Улан Карыпбеков Транспорт каражаттарын жана айдоочулук курамды каттоо боюнча мамагенттиктин директору болду,politika
Рустам Жокоев кызматынан бошотулду,politika
Каарманбек Байдавлетов саламаттык сактоо министринин орун басары болуп дайындалды,politika
Женалы Орозбаев Монополияга каршы жөнгө салуу кызматынын төрагасы болду,politika
Гүлшат Асылбаева  экономика министринин орун басары болуп дайындалды,politika
Бактыгүл Иманбек кызы Маалыматтык чөйрөнү изилдөө борборунун директору болуп дайындалды,politika
