Title,topic
Християн Браузман жана Эрбол Атабаев “Абдыш-Ата” менен келишимди узартты,sport
Быйыл 20га жакын футболдук объект курулат жана реконструкцияланат,sport
Дзюдо боюнча өлкө чемпионаты жыйынтыкталды,sport
Дзюдо боюнча өлкө чемпионатынын биринчи күнү жыйынтыкталды,sport
Бүгүн дзюдо боюнча Кыргызстандын чемпионаты башталды,sport
Кыргызстандын бокс боюнча курамасы эл аралык окуу-машыгуу жыйынына катышууда,sport
"Бишкекте ""Ден соолук"" спартакиадасы өтөт",sport
Ташиевдин баласы словакиялык белгилүү футбол клубу менен келишим түздү,sport
Бакай-Ата районунда спорт комплексинин курулушу бүткөрүлдү,sport
Шахмат боюнча өспүрүмдөр жана жаштар арасында өлкө чемпионаты өттү,sport
Бишкекте дзюдо боюнча өлкө чемпионаты өтөт,sport
Эркин күрөш боюнча өлкө чемпионаты жыйынтыкталды,sport
Эркин күрөш боюнча өлкө чемпионаты. Биринчи күндүн жыйынтыгы,sport
Бишкекте  эркин күрөш боюнча өлкө чемпионаты өтүүдө,sport
Ташиев футбол боюнча жаштар курамасынын Испанияда өтүп жаткан машыгууларына көз салды,sport
Грек-рим күрөшү боюнча өлкө чемпионаты жыйынтыкталды – жеңүүчүлөр,sport
2027-жылкы Азия кубогунун беттештери өтө турган 8 стадион аныкталды,sport
Грек-рим күрөшү боюнча өлкө чемпионатынын I күнү жыйынтыкталды – жеңүүчүлөр,sport
Бүгүн Бишкекте күрөш боюнча Кыргызстандын чемпионаты башталат,sport
"Бишкекте футзал боюнча эл аралык ""Наристе"" турнири өтүүдө",sport
Кыргыз спортчулары Кытайда өтчү кышкы Азия оюндарына катышат,sport
Бишкекте грек-рим жана эркин күрөш боюнча республикалык чемпионат өтөт,sport
Бишкекте дзюдо боюнча ачык турнир өттү - жыйынтык,sport
КР футбол боюнча жаштар курамасы Испанияда окуу-машыгуу жыйынын өткөрөт,sport
Кыргызстанда балдар жана жаштар футболун өнүктүрүү маселеси талкууланды,sport
Мектеп лигасы: Бишкекте кыздар арасында баскетбол боюнча мелдеш өттү,sport
Кыргызстандын футбол боюнча жаштар курамасы Ысык-Көлдөгү машыгуусун жыйынтыктады,sport
Кыргыз оор атлетчилери Казакстандагы ачык турнирде байгелүү орундарга ээ болду,sport
Таэквондо GTF боюнча Кыргызcстандын чемпионаты өттү,sport
Кыргызстандын бел боо күрөшү боюнча курамасы эл аралык мелдеште 7 медаль жеңди,sport
Белгилүү машыктыруучу Хаким Махмудов “Даңк” медалы менен сыйланды,sport
Бишкекте практикалык ок атуу боюнча шаар чемпионаты өттү,sport
Боксчу Мунарбек Сейитбек уулу III даражадагы “Манас” ордени менен сыйланды,sport
Казакстанда өткөн эл аралык мелдеште кыргыз балбандары 4 медаль багындырды,sport
Футбол боюнча жаштар курамасы Азия кубогуна даярдыгын баштайт,sport
Кыргызстандын бокс боюнча курамасы Таиландда өткөн Азия чемпионатынан кайтып келди,sport
"Бишкекте ""Алыш"" күрөшү боюнча шаардык чемпионат өттү",sport
Сергий Пучков Кыргызстандын футбол боюнча жаштар курамасынын башкы машыктыруучусу болуп дайындалды,sport
"Бишкекте ""Мурас"" достук турнири башталды – командалардын тизмеси",sport
Ошто грек-рим күрөшү боюнча эл аралык мелдеш башталды,sport
Улуттук футбол академиясына 23 жаш оюнчулар кабыл алынды,sport
Азия чемпионатында алтын уткан өзбек мушкери медалынан ажырады,sport
Айпери Медет кызы дүйнөлүк рейтингде 1- орунга чыкты,sport
Садыр Жапаровдун катышуусунда салтка айланган “Мурас” достук турнири өтөт,sport
Кыргызстандык суучул Денис Петрашов дүйнө чемпионатынын финалына чыкты,sport
Кыргызстандын футбол тармагындагы  жылдын мыктылары аныкталды,sport
Жоэл Кожо Кыргызстандын мыкты футболчусу аталды,sport
Бишкекте шотокан каратэ-до боюнча турнир өттү,sport
Кыргызстандын тай бокс боюнча курама командасы дүйнө чемпионатында 10 медаль утту,sport
Борбор калаада мэрдин кубогунун жеңүүчүлөрүнө сыйлыктар тапшырылды,sport
