Title,topic
УКТ мүчөсү массалык башаламандыкка чакырууга шектелип кармал...,ukuktartibi
Ири өлчөмдөгү алдамчылыкка айыпталган кыргызстандык Испаниядан экстрадицияланды,ukuktartibi
Токмокто жол инспекторлоруна баш ийбей унааны айдай качкан өспүрүмдөр кармалды,ukuktartibi
Ош шаарында уулуу зат сатууга аракет кылган топ кармалды,ukuktartibi
УКМК тоо-кен компаниясынын мурдагы директорун кармады,ukuktartibi
"Ошто мыйзам бузган айдоочуларды опузалап, акча алып жүргөн инспектор кармалды",ukuktartibi
Салык кызматынын мурдагы төрагасынын баш коргоо чарасынын мөөнөтү узартылды,ukuktartibi
Сузакта ипотекалык үй алууга жардам көрсөтүүнү убадалаган алдамчы кармалды,ukuktartibi
Урматбек Самаев президенттин Жалал-Абаддагы өкүлүнүн орун басары болуп дайындалды,ukuktartibi
Ошто экстремисттик идеяларды таратууга шектелип өзбекстандык жаран кармалды,ukuktartibi
Кыргызстанда бир жумада мас абалында унаа башкарган 320 айдоочу аныкталды,ukuktartibi
Салык кызматынын Талас шаардык башкармалыгынын бөлүм жетекчиси кармалды,ukuktartibi
Салык кызматынын инспектору 500 миң сом пара менен кармалды,ukuktartibi
Жалал-Абад шаарында белгилүү блогер кармалды,ukuktartibi
Жалал-Абад облустук аймактык адвокатурасынын төрагасы пара берүүгө ортомчулук кылган,ukuktartibi
Өзгөндө жер тилкелерин мыйзамсыз саткан кызмат адамдары кармалды,ukuktartibi
Абхазия жана Армениядан мыйзамсыз кирген унааларга рейд жүрүүдө,ukuktartibi
Былтыр жол эрежелерин бузгандардан 650 млн сомдон ашуун каражат өндүрүлдү,ukuktartibi
2024-жылы өлкөдө 1 млн 34 миң айдоочу жол эрежесин бузган,ukuktartibi
"Бишкекте пара талап кылуу, кыйноо фактылары боюнча милиция кызматкери кармалды",ukuktartibi
УКМК: Милициянын кайгуул кызматындагы коррупциялык схемага бөгөт коюлду,ukuktartibi
УКМК: Жасалма жол менен чет элдик валюта жасоо менен алектенгендер кармалды,ukuktartibi
"Сузакта жөө адамды сүзүп, окуя болгон жерден качып кеткен айдоочу кармалды",ukuktartibi
Бишкек менен Чүй облусунда бир суткада 41 мас айдоочу кармалды,ukuktartibi
Базар-Коргондо системалуу түрдө пара алып жүргөн салыкчы кармалды,ukuktartibi
Чүй облусунда жасалма номерлүү унаага 45 миң сом айып салынды,ukuktartibi
Чүйдө 15 жаштагы өспүрүм документи жок  унаа башкарганы аныкталды - ЖКККББ,ukuktartibi
Таласта пара алган милициянын участкалык инспектору камакка алынды,ukuktartibi
Кызыл-Кыяда мечитке ташталган ымыркайдын апасы табылды,ukuktartibi
Бишкекте ири өлчөмдө психотроптук зат сатып жүргөн жаран кармалды,ukuktartibi
Өзгөндө жөө жүргүнчүнү сүзүп кеткен айдоочу кармалды,ukuktartibi
Сокулукта мефедрондун ири партиясын сатууга аракеттенген жаран кармалды,ukuktartibi
Өлкөдө бир аптада мас абалында унаа башкарган 312 айдоочу кармалды,ukuktartibi
Жаңы жыл күнү 64 мас айдоочу кармалды – ЖКККББ,ukuktartibi
Бишкек электр тармактар ишканасынын кызматкери 1 млн сом пара алып жаткан учурда кармалды,ukuktartibi
Ошто баңгизат сатуу менен алектенген уюшкан кылмыштуу топтун мүчөлөрү кармалды,ukuktartibi
УКМК: Коррупция фактысы боюнча аскер комиссарлары кармалды,ukuktartibi
Кеминде бюджеттик каражаттарды уурдоого шектүүлөр кармалды,ukuktartibi
Ысык-Көлдө баңгизат менен алектенген уюшкан кылмыштуу топтун мүчөсү кармалды,ukuktartibi
Аскер прокуратурасы тарабынан чек ара кызматкери кармалды,ukuktartibi
Соттолгон уулуна уюлдук телефон берүүгө аракет кылган аял кармалды,ukuktartibi
Бакай-Атада мыйзамсыз менчиктештирилген жер тилкелер мамлекетке кайтарылды,ukuktartibi
Чүй облусунда абак кызматкерлери азык-түлүк уурдап кармалды,ukuktartibi
Жалал-Абадда 3 жаран диний-экстремисттик уюмга мүчө болуудан баш тартты,ukuktartibi
Караколдо мыйзамсыз балык уулаган жаран кармалды,ukuktartibi
Ак-Сууда мечиттерден акча уурдоого шектүү жаран кармалды,ukuktartibi
Ала-Букада мыйзамсыз акча чогулткан билим берүү кызматкерлерине кылмыш иши козголду,ukuktartibi
УКМК Жалал-Абадда диний-экстремисттик уюмга карата ыкчам-иликтөө иш-чараларын жүргүздү,ukuktartibi
Бишкек шаардык сотунун судьясы жана анын жубайы кармалды,ukuktartibi
Эки аскер комиссар коррупцияга шектелип кармалды,ukuktartibi
Баткен облусунда айыл аймак башчысы пара менен кармалды,ukuktartibi
УКМК: Эл аралык мыйзамсыз миграция каналын уюштургандар кармалды,ukuktartibi
Бишкектин көчөлөрүн булгаган жүк ташуучу унаанын айдоочусуна айып салынды,ukuktartibi
Кыргызстанга кымбат баалуу сааттарды мыйзамсыз алып кирүү аракетине бөгөт коюлду,ukuktartibi
Кыргызстанда бир жумада 221 мас айдоочу аныкталды,ukuktartibi
Кыргызстанда бир суткада 54 мас айдоочу кармалды,ukuktartibi
УКМК коргоо министринин жардамчысын кармады,ukuktartibi
Мурдагы өзгөчө кырдаалдар министри коррупцияга шектелип кармалды,ukuktartibi
Баткен облусунда төрт саатта 12 мас айдоочу кармалды,ukuktartibi
Баткенде баңгизат сатып жүргөн жаран кармалды,ukuktartibi
Сот Салык кызматынын төрагасынын жана анын орун басарынын баш коргоо чарасын карады,ukuktartibi
УКМК Салык кызматынын төрагасын жана анын орун басарын кармады,ukuktartibi
Ошто синтетикалык баңгизат сатууга шектелген студент кыздар кармалды,ukuktartibi
"""Кадастр"" ишканасынын Кара-Суу райондук филиалынын директору кармалды",ukuktartibi
УКМК: Аскер кызматкерлери пара алуу фактысы менен кармалды,ukuktartibi
"УКМК ""Кыргызкөмүр"" ишканасынын түштүк филиалынын мурдагы башчысын кармады",ukuktartibi
Бишкектен унаа уурдаган топ изи сууй электе кармалды,ukuktartibi
Эсептөө  палатасынын кызматкерлери кармалды – УКМК,ukuktartibi
Бажычылар Түркмөнстанга мыйзамсыз ташылып бара жаткан  жүктү аныктады,ukuktartibi
Ошто системалуу түрдө акча талап кылган бажы кызматкерлери кармалды,ukuktartibi
УКМК алдамчылык жана документтерди жасалмалоого шектүү жактоочуну кармады,ukuktartibi
Баткен районунда тергөөчүгө пара сунуштаган жаран кармалды,ukuktartibi
УКМК телефон аткезчилигинин коррупциялык схемасын ачыктады,ukuktartibi
УКМК эл аралык баңги тобунун ишмердүүлүгүнө бөгөт койду,ukuktartibi
Сокулукта тергөөчүгө пара берүүгө аракет кылган адвокат кармалды,ukuktartibi
УКМК кызмат абалынан кыянаттык менен пайдаланган салыкчыларды кармады,ukuktartibi
Ала-Букада мыйзамсыз алтын казуу фактысы боюнча кылмыш иши козголду,ukuktartibi
Араванда милиция кызматкери 120 миң сом пара менен кармалды,ukuktartibi
Кыргызстанда бир жумада эреже бузган 2 миңден ашык унаа айып короого токтотулду,ukuktartibi
"""Манас"" аэропортуна бомба коюлганы тууралуу билдирүү тастыкталган жок – милиция",ukuktartibi
Ош мэриясынын кызматкери кызмат абалын кыянаттык менен пайдаланууга шектелүүдө,ukuktartibi
Башкы прокуратура: ӨКМдин курулуш иштериндеги мыйзам бузууларга кылмыш иштери козголду,ukuktartibi
"УКМК: ""Яндекс.Такси Корп"" тарабынан ири өлчөмдөгү салык төлөөдөн качуу фактысы аныкталды",ukuktartibi
Ноокат районунун Көк-Жар айылдык милиция бөлүмчөсүнүн башчысы кармалды,ukuktartibi
Ысык-Көлдө мыйзамсыз балык уулагандарга карата кылмыш иши козголду,ukuktartibi
Ала-Букада мектеп имаратынын сапатсыз курулушу боюнча кылмыш иши козголду,ukuktartibi
Бишкекте психотроптук заттарды сатуу менен алектенген 2 жаран кармалды,ukuktartibi
"УКМК төрагасынын туугандарынын атын жамынып, $240 миң  алган жаран кармалды",ukuktartibi
Чек арадан жасалма документтер менен унаа алып кирүүгө бөгөт коюлду  – Бажы кызматы,ukuktartibi
"Кыргызстанда апта ичинде 19,3 миң жол эрежесин бузуу фактысы аныкталды",ukuktartibi
Жалал-Абадда баңгизат боюнча соттолгон жаранды бошоткон судьялар кармалды,ukuktartibi
УКМК Камчыбек Ташиевге жашыруун катты жазган жаран кармалганын билдирди,ukuktartibi
Ноокатта бир катар милиция кызматкерлери пара менен кармалды,ukuktartibi
Жалал-Абад облусунда мыйзам бузган үч сот кармалды – Камчыбек Ташиев,ukuktartibi
УКМК мурдагы элчи Бакыт Аманбаевдин ишинин чоо-жайын айтып берди,ukuktartibi
Ветеринардык кызмат башкармалыгынын жетекчисинин мыйзамсыз иштерине бөгөт коюлду,ukuktartibi
Бишкекте синтетикалык баңгизат саткан өспүрүм кармалды,ukuktartibi
Бишкекте гараж ээлери менен мэрия кызматкерлеринин ортосунда чыр чыкты – видео,ukuktartibi
Өлкөдөн уюлдук телефондорду мыйзамсыз алып чыгуу аракети көрүлгөн – Бажы кызматы,ukuktartibi
Бишкекте курулуш мыйзамдарын бузган компанияга 200 миң сом айып салынды,ukuktartibi
Мурдагы депутат Эмил Жамгырчиев суракка чакырылды – УКМК,ukuktartibi
Көлбаевдин уюшкан кылмыштуу тобунун активдүү мүчөсү кармалды,ukuktartibi
Ноокен райондук администрациясынын кызмат адамдарына кылмыш иши козголду,ukuktartibi
"Кыргызстанда бир аптада 19,5 миң жол эрежесин бузуу фактысы катталды",ukuktartibi
"Чүйдө жасалма номер тагып, терезесин мыйзамсыз караңгылаткан айдоочу кармалды",ukuktartibi
"""Казак"" каймана аттуу УКТ мүчөсү Египетте кармалып, Кыргызстанга алып келинди",ukuktartibi
Жергиликтүү кеңештерге шайлоо. Мыйзам бузуулар боюнча ИИМге 69 билдирүү түшкөн,ukuktartibi
Ысык-Көл облусунда 14 мыйзамсыз балык уулоо фактысы аныкталды,ukuktartibi
Айдоочулук күбөлүгү жок унаа башкарган жаранга айып салынды – ЖКККББ,ukuktartibi
Сот Социал-демократтар партиясынын кармалган мүчөлөрүн камакта калтырды,ukuktartibi
Бишкекте адам өлтүрүүгө шектүү жаран изи сууй электе кармалды,ukuktartibi
